jd, h2o, co2, dust
2455494.5095779 3.196878139510214e-05 2.200447687102878e-05 2.200447687102878e-05
2455494.5304115 3.87948024692984e-05 2.8286524140027235e-05 2.8286524140027235e-05
2455494.5512441 3.9613657111165965e-05 2.6016632703064602e-05 2.6016632703064602e-05
2455494.5720778 4.405954566644456e-05 1.7203111615841757e-05 1.7203111615841757e-05
2455494.5929114 4.20871539596194e-05 1.9237564748979094e-05 1.9237564748979094e-05
2455494.6137439 2.5469448485171102e-05 1.209457425467032e-05 1.209457425467032e-05
2455494.6345776 3.5853908744940026e-05 1.4434049034770755e-05 1.4434049034770755e-05
2455494.6554112 3.504299940971203e-05 1.2053709831692036e-05 1.2053709831692036e-05
2455494.6762448 3.095812518275068e-05 1.291411454762914e-05 1.291411454762914e-05
2455494.6970775 2.4093771148450676e-05 1.1495660573554257e-05 1.1495660573554257e-05
2455494.7179112 3.1010951832929616e-05 7.5217298091946765e-06 7.5217298091946765e-06
2455494.7387446 3.363831939322703e-05 9.238400303914953e-06 9.238400303914953e-06
2455494.7595772 3.4042410496971074e-05 6.109947580047715e-06 6.109947580047715e-06
2455494.7804109 2.1428133185038406e-05 4.440590332978224e-06 4.440590332978224e-06
2455494.8012445 2.2290931500799623e-05 7.352860700659486e-06 7.352860700659486e-06
2455494.822077 2.2752917340645538e-05 3.3070871983644554e-06 3.3070871983644554e-06
2455494.8429107 4.301351101706744e-05 7.363235351577046e-06 7.363235351577046e-06
2455495.2005482 0.0 2.5227265653510254e-06 2.5227265653510254e-06
2455495.2213818 2.340166467799426e-05 4.458552235124571e-06 4.458552235124571e-06
2455495.2422155 2.5240898332462684e-05 5.054590816187257e-06 5.054590816187257e-06
2455495.2630479 2.2372079618626977e-05 5.31882982056908e-06 5.31882982056908e-06
2455495.2838816 2.4791014720510272e-05 6.791777741691691e-06 6.791777741691691e-06
2455495.3047152 3.1111729676746584e-05 1.4487628690390006e-05 1.4487628690390006e-05
2455495.3255489 3.372591845949008e-05 1.5504357672649445e-05 1.5504357672649445e-05
2455495.3463814 3.683812727516468e-05 1.9649920457654e-05 1.9649920457654e-05
2455495.3672151 2.631286036955933e-05 1.9747079662245387e-05 1.9747079662245387e-05
2455495.3880487 3.845975113751543e-05 1.6344452025765585e-05 1.6344452025765585e-05
2455495.4088813 2.7309908146712476e-05 1.4833830453317106e-05 1.4833830453317106e-05
2455495.4297149 2.827141847607086e-05 1.7816790900246364e-05 1.7816790900246364e-05
2455495.4505486 2.9834683065678868e-05 1.4434764136659824e-05 1.4434764136659824e-05
2455495.4713821 3.138625365183627e-05 1.8325040450388978e-05 1.8325040450388978e-05
2455495.4922148 3.0710802999575466e-05 1.4932583652089566e-05 1.4932583652089566e-05
2455495.5130484 0.0 5.514523313071386e-06 5.514523313071386e-06
2455495.5338819 3.376296478205125e-05 1.5518818906316943e-05 1.5518818906316943e-05
2455495.5547147 2.6734942473512453e-05 1.05974749159411e-05 1.05974749159411e-05
2455495.5755484 3.9017456598229355e-05 6.981339169976486e-06 6.981339169976486e-06
2455495.5963821 2.888933214011069e-05 1.1366694681345352e-05 1.1366694681345352e-05
2455495.6172144 4.00577353341235e-05 1.4509917610772829e-05 1.4509917610772829e-05
2455495.638048 3.637194651721267e-05 7.1445465307566765e-06 7.1445465307566765e-06
2455495.6588817 4.021144243984284e-05 6.057374268409683e-06 6.057374268409683e-06
2455495.6797152 4.208861055639653e-05 5.984915839343559e-06 5.984915839343559e-06
2455495.700548 2.9799098009968668e-05 3.1493966192878845e-06 3.1493966192878845e-06
2455495.7213816 2.171759273707778e-05 2.932926983584992e-06 2.932926983584992e-06
2455495.7422151 2.7188661236274517e-05 4.6562242099238415e-06 4.6562242099238415e-06
2455495.7630477 2.128445224220342e-05 5.842768745226535e-06 5.842768745226535e-06
2455495.7838814 2.1845807174256293e-05 7.424035795923159e-06 7.424035795923159e-06
2455495.804715 1.54542967512661e-05 7.426806642832482e-06 7.426806642832482e-06
2455495.8255474 2.040993935757726e-05 7.148000455493469e-06 7.148000455493469e-06
2455495.8463811 2.432584674514784e-05 1.2611409286039476e-05 1.2611409286039476e-05
2455496.1554079 0.0 -3.672891458925743e-07 -3.672891458925743e-07
2455496.1762416 4.4992934286547384e-05 7.159880006035747e-06 7.159880006035747e-06
2455496.1970752 3.3078519653456094e-05 1.0381891971170652e-05 1.0381891971170652e-05
2455496.2179079 3.061194769170203e-05 9.676293777240158e-06 9.676293777240158e-06
2455496.2387415 2.8566789395299715e-05 3.5880746470174604e-06 3.5880746470174604e-06
2455496.2595752 3.15257729401295e-05 8.244702493968598e-06 8.244702493968598e-06
